label_id,label_name,description,inclusion_examples,exclusion_examples,sibling_labels,cluster_or_method,frozen,example_onetsoc_tasks,notes
adjust_process_parameters_or_equipment_settings,Adjust Process Parameters or Equipment Settings,"Modify operational variables such as temperature, pressure, flow rate, or equipment controls to maintain or optimize process performance.",Adjust temperature and pressure to maintain biofuel processes | Calibrate nanotechnology equipment to specifications | Set controls on boilers to regulate power output,Monitor process parameters without adjustment | Design new process control systems,"adjust_or_operate_equipment_controls,maintain_repair_or_adjust_equipment_machinery_or_systems",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
develop_or_improve_technical_methods_and_tools,Develop or Improve Technical Methods and Tools,"Create, refine, or enhance procedures, computational tools, or experimental methods to support research, development, or operational efficiency.",Develop computational tools for biofuels research | Create methods to estimate biomass pretreatment efficiency | Design new laboratory equipment for research projects,Use existing tools to perform routine tasks | Train others on established methods,"develop_or_modify_methods_techniques_or_tools,develop_or_improve_computational_tools_models_or_software",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
conduct_experiments_or_tests_to_evaluate_processes_or_products,Conduct Experiments or Tests to Evaluate Processes or Products,"Perform controlled trials, tests, or experiments to assess the performance, quality, or characteristics of materials, products, or processes.",Conduct fermentation experiments for feedstock testing | Test new products for flavor and nutritional content | Perform stress tests using specialized equipment,Analyze data from completed experiments | Prepare reports summarizing experimental results,"conduct_experiments_or_tests_on_technical_or_scientific_subjects,test_measure_or_calibrate_equipment_or_materials",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
supervise_and_manage_personnel_or_teams,Supervise and Manage Personnel or Teams,"Oversee, direct, and evaluate the work of staff or teams to ensure effective performance and compliance with policies.",Hire and supervise coaching staff | Direct and evaluate medical and nursing personnel | Assign and review work of computer systems analysts,Perform individual contributor tasks without supervisory duties | Train staff without management responsibilities,"supervise_or_manage_personnel_and_operations,supervise_or_direct_personnel_and_activities",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
plan_and_coordinate_program_or_operational_activities,Plan and Coordinate Program or Operational Activities,"Develop schedules, organize resources, and oversee the execution of programs, projects, or operational functions.",Plan physical conditioning programs for athletes | Coordinate school logistics such as bus and food services | Organize committees to provide advisory assistance,Perform routine operational tasks without planning | Supervise staff without program coordination,"plan_organize_and_coordinate_activities_or_programs,coordinate_and_manage_projects_or_operations",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
analyze_data_to_evaluate_performance_or_inform_decisions,Analyze Data to Evaluate Performance or Inform Decisions,"Examine quantitative or qualitative data to assess effectiveness, identify trends, or support decision-making processes.",Analyze performance data to determine instructional effectiveness | Evaluate financial information to forecast economic conditions | Interpret exercise participant data to assess progress,Collect data without analysis | Report data without interpretation,"analyze_data_to_evaluate_or_improve_processes,analyze_data_or_information_to_evaluate_conditions_or_performance",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
design_and_develop_visual_or_physical_displays_and_layouts,Design and Develop Visual or Physical Displays and Layouts,"Create plans, models, or physical assemblies for exhibits, merchandise displays, or set designs according to specifications and aesthetic principles.","Develop ideas and plans for merchandise displays | Build scale models of set designs | Select themes, lighting, and props for window decorations",Supervise construction without design input | Operate tools without design responsibilities,"create_or_develop_visual_or_physical_designs,arrange_or_set_up_physical_displays_or_environments",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
monitor_and_inspect_equipment_systems_or_environments,"Monitor and Inspect Equipment, Systems, or Environments","Observe, check, or test operational status, safety, or compliance of machinery, systems, or physical environments.",Monitor biomass plant control system parameters | Inspect hydroelectric facilities for normal operation | Check air quality of ventilation systems for safety compliance,Repair or adjust equipment without monitoring | Analyze data without direct observation,"monitor_and_maintain_equipment_or_systems,review_and_verify_operational_records_or_reports",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
manage_inventories_supplies_or_resources,"Manage Inventories, Supplies, or Resources","Oversee acquisition, storage, issuance, and tracking of materials, parts, or equipment necessary for operations.","Manage parts and supply inventories for biomass plants | Select, acquire, store, and issue equipment for sports teams | Maintain inventories of spare parts for electrical equipment",Use supplies without inventory management | Order materials without managing inventory,"manage_budgets_resources_or_operational_plans,coordinate_or_direct_organizational_or_administrative_activities",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
consult_and_advise_stakeholders_on_specialized_topics,Consult and Advise Stakeholders on Specialized Topics,"Provide expert guidance, recommendations, or explanations to clients, management, or other professionals regarding specific technical, regulatory, or operational matters.",Consult with clients to determine architectural requirements | Advise managers on employment regulations and policies | Provide regulatory guidance to development teams,Perform routine tasks without advisory role | Train others without consulting,"provide_technical_support_or_assistance,consult_or_collaborate_with_stakeholders_to_determine_requirements_or_solutions",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
perform_physical_or_manual_therapeutic_treatments,Perform Physical or Manual Therapeutic Treatments,"Administer hands-on therapeutic exercises, massages, or modality treatments to patients to improve health or function.",Administer manual therapeutic exercises to patients | Provide massage or aquatic physical therapy treatments | Instruct patients in use of orthotic or prosthetic devices,Diagnose conditions without treatment | Supervise therapy without direct treatment,"provide_treatment_therapy_or_specialized_care,develop_or_implement_treatment_or_rehabilitation_plans",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
